fdc_id,description,nutrient_id,name,amount,unit_name
168153,"Kiwifruit, green, raw",1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG
168153,"Kiwifruit, green, raw",1178,Vitamin B-12,0.0,UG
168153,"Kiwifruit, green, raw",1180,"Choline, total",7.8,MG
168153,"Kiwifruit, green, raw",1186,Folic acid,0.0,UG
168153,"Kiwifruit, green, raw",1210,Tryptophan,0.015,G
168153,"Kiwifruit, green, raw",1211,Threonine,0.047,G
168153,"Kiwifruit, green, raw",1212,Isoleucine,0.051,G
168153,"Kiwifruit, green, raw",1213,Leucine,0.066,G
168153,"Kiwifruit, green, raw",1214,Lysine,0.061,G
168153,"Kiwifruit, green, raw",1215,Methionine,0.024,G
168153,"Kiwifruit, green, raw",1217,Phenylalanine,0.044,G
168153,"Kiwifruit, green, raw",1219,Valine,0.057,G
168153,"Kiwifruit, green, raw",1220,Arginine,0.081,G
168153,"Kiwifruit, green, raw",1221,Histidine,0.027,G
168153,"Kiwifruit, green, raw",1229,Cysteine and methionine(sulfer containig AA),0.0,G
168153,"Kiwifruit, green, raw",1230,Phenylalanine and tyrosine (aromatic  AA),0.0,G
168153,"Kiwifruit, green, raw",1272,PUFA 22:6 n-3 (DHA),0.0,G
168153,"Kiwifruit, green, raw",1278,PUFA 20:5 n-3 (EPA),0.0,G
168153,"Kiwifruit, green, raw",1316,"PUFA 18:2 n-6 c,c",0.0,G
168153,"Kiwifruit, green, raw",1404,"PUFA 18:3 n-3 c,c,c (ALA)",0.0,G
168177,"Pears, asian, raw",1003,Protein,0.5,G
168177,"Pears, asian, raw",1004,Total lipid (fat),0.23,G
168177,"Pears, asian, raw",1005,"Carbohydrate, by difference",10.65,G
168177,"Pears, asian, raw",1008,Energy,42.0,KCAL
168177,"Pears, asian, raw",1087,"Calcium, Ca",4.0,MG
168177,"Pears, asian, raw",1088,"Chlorine, Cl",0.0,MG
168177,"Pears, asian, raw",1089,"Iron, Fe",0.0,MG
168177,"Pears, asian, raw",1090,"Magnesium, Mg",8.0,MG
168177,"Pears, asian, raw",1091,"Phosphorus, P",11.0,MG
168177,"Pears, asian, raw",1092,"Potassium, K",121.0,MG
168177,"Pears, asian, raw",1093,"Sodium, Na",0.0,MG
168177,"Pears, asian, raw",1095,"Zinc, Zn",0.02,MG
168177,"Pears, asian, raw",1098,"Copper, Cu",0.05,MG
168177,"Pears, asian, raw",1100,"Iodine, I",0.0,UG
168177,"Pears, asian, raw",1101,"Manganese, Mn",0.06,MG
168177,"Pears, asian, raw",1103,"Selenium, Se",0.1,UG
168177,"Pears, asian, raw",1104,"Vitamin A, IU",0.0,IU
168177,"Pears, asian, raw",1110,"Vitamin D (D2 + D3), International Units",0.0,IU
168177,"Pears, asian, raw",1109,Vitamin E (alpha-tocopherol),0.12,MG
168177,"Pears, asian, raw",1165,Thiamin,0.009,MG
168177,"Pears, asian, raw",1166,Riboflavin,0.01,MG
168177,"Pears, asian, raw",1167,Niacin,0.219,MG
168177,"Pears, asian, raw",1170,Pantothenic acid,0.07,MG
168177,"Pears, asian, raw",1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG
168177,"Pears, asian, raw",1178,Vitamin B-12,0.0,UG
168177,"Pears, asian, raw",1180,"Choline, total",5.1,MG
168177,"Pears, asian, raw",1186,Folic acid,0.0,UG
168177,"Pears, asian, raw",1210,Tryptophan,0.005,G
168177,"Pears, asian, raw",1211,Threonine,0.013,G
168177,"Pears, asian, raw",1212,Isoleucine,0.014,G
168177,"Pears, asian, raw",1213,Leucine,0.025,G
168177,"Pears, asian, raw",1214,Lysine,0.017,G
168177,"Pears, asian, raw",1215,Methionine,0.006,G
168177,"Pears, asian, raw",1217,Phenylalanine,0.013,G
168177,"Pears, asian, raw",1219,Valine,0.018,G
168177,"Pears, asian, raw",1220,Arginine,0.009,G
168177,"Pears, asian, raw",1221,Histidine,0.005,G
168177,"Pears, asian, raw",1229,Cysteine and methionine(sulfer containig AA),0.0,G
168177,"Pears, asian, raw",1230,Phenylalanine and tyrosine (aromatic  AA),0.0,G
168177,"Pears, asian, raw",1272,PUFA 22:6 n-3 (DHA),0.0,G
168177,"Pears, asian, raw",1278,PUFA 20:5 n-3 (EPA),0.0,G
168177,"Pears, asian, raw",1316,"PUFA 18:2 n-6 c,c",0.0,G
168177,"Pears, asian, raw",1404,"PUFA 18:3 n-3 c,c,c (ALA)",0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1003,Protein,0.84,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1004,Total lipid (fat),0.18,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1005,"Carbohydrate, by difference",4.32,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1008,Energy,19.0,KCAL
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1087,"Calcium, Ca",9.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1088,"Chlorine, Cl",0.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1089,"Iron, Fe",0.38,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1090,"Magnesium, Mg",16.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1091,"Phosphorus, P",36.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1092,"Potassium, K",319.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1093,"Sodium, Na",6.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1095,"Zinc, Zn",0.77,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1098,"Copper, Cu",0.033,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1100,"Iodine, I",0.0,UG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1101,"Manganese, Mn",0.086,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1103,"Selenium, Se",0.2,UG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1104,"Vitamin A, IU",113.0,IU
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1110,"Vitamin D (D2 + D3), International Units",0.0,IU
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1109,Vitamin E (alpha-tocopherol),0.14,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1165,Thiamin,0.051,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1166,Riboflavin,0.053,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1167,Niacin,0.28,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1170,Pantothenic acid,0.193,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1178,Vitamin B-12,0.0,UG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1180,"Choline, total",10.8,MG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1186,Folic acid,0.0,UG
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1210,Tryptophan,0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1211,Threonine,0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1212,Isoleucine,0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1213,Leucine,0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1214,Lysine,0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1215,Methionine,0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1217,Phenylalanine,0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1219,Valine,0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1220,Arginine,0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1221,Histidine,0.0,G
