ingredient_id,nutrient_id,amount,fdc_id,data_source,created_at
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1166,0.486,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1170,0.915,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1167,9.286,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1175,0.613,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1186,0.0,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1178,1.02,169192.0,usda,2026-02-04T04:40:40.267768
f4552a1c-3bb0-4f0a-8cc2-eb9fb284f6e9,1180,89.7,169192.0,usda,2026-02-04T04:40:40.267768
d33d7be1-6220-4aee-92c6-b39f3d075835,1008,158.0,169450.0,usda,2026-02-04T04:40:40.267768
d33d7be1-6220-4aee-92c6-b39f3d075835,1005,0.0,169450.0,usda,2026-02-04T04:40:40.267768
d33d7be1-6220-4aee-92c6-b39f3d075835,1079,0.0,169450.0,usda,2026-02-04T04:40:40.267768
d33d7be1-6220-4aee-92c6-b39f3d075835,1003,27.27,169450.0,usda,2026-02-04T04:40:40.267768
d33d7be1-6220-4aee-92c6-b39f3d075835,1220,0.0,,usda,2026-02-04T04:40:40.267768
