ingredient_id,nutrient_id,amount,data_source,create_at
169292,1008,15,built_in,
169292,1051,95.22,built_in,
169292,1079,1,built_in,
169292,1087,18,built_in,
169292,1088,0,built_in,
169292,1089,0.37,built_in,
169292,1090,19,built_in,
169292,1091,37,built_in,
169292,1092,264,built_in,
169292,1093,3,built_in,
169292,1095,0.33,built_in,
169292,1098,0.052,built_in,
169292,1100,0,built_in,
169292,1101,0.173,built_in,
169292,1103,0.2,built_in,
169292,1104,1117,built_in,
169292,1110,0,built_in,
169292,1109,0.12,built_in,
169292,1165,0.035,built_in,
169292,1166,0.024,built_in,
169292,1167,0.51,built_in,
169292,1170,0.288,built_in,
169292,1171,0,built_in,
169292,1178,0,built_in,
169292,1180,9.4,built_in,
169292,1186,0,built_in,
169292,1210,0.006,built_in,
169292,1211,0.015,built_in,
169292,1212,0.023,built_in,
169292,1213,0.037,built_in,
169292,1214,0.035,built_in,
169292,1215,0.009,built_in,
169292,1216,0.007,built_in,
169292,1217,0.022,built_in,
169292,1218,0.017,built_in,
169292,1219,0.029,built_in,
169292,1220,0.027,built_in,
169292,1221,0.014,built_in,
169292,1269,0.058,built_in,
169292,1270,0.094,built_in,
169292,1272,0,built_in,
169292,1278,0,built_in,
169292,1316,0,built_in,
169292,1404,0,built_in,
169448,1003,28.48,built_in,
169448,1004,4.73,built_in,
169448,1005,0.15,built_in,
169448,1008,165,built_in,
169448,1051,65.67,built_in,
169448,1079,0,built_in,
169448,1087,5,built_in,
169448,1088,0,built_in,
169448,1089,6.38,built_in,
169448,1090,21,built_in,
169448,1091,254,built_in,
169448,1092,219,built_in,
169448,1093,59,built_in,
169448,1095,2.87,built_in,
169448,1098,0.559,built_in,
169448,1100,0,built_in,
169448,1101,0.033,built_in,
169448,1103,38.9,built_in,
169448,1104,0,built_in,
169448,1110,3,built_in,
169448,1109,0.29,built_in,
169448,1165,0.101,built_in,
169448,1166,1.21,built_in,
169448,1167,6.68,built_in,
169448,1170,1.6,built_in,
169448,1171,0,built_in,
169448,1178,10.8,built_in,
169448,1180,228.8,built_in,
169448,1186,0,built_in,
169448,1210,0,built_in,
169448,1211,0,built_in,
169448,1212,0,built_in,
169448,1213,0,built_in,
169448,1214,0,built_in,
169448,1215,0,built_in,
169448,1216,0,built_in,
169448,1217,0,built_in,
169448,1218,0,built_in,
169448,1219,0,built_in,
169448,1220,0,built_in,
169448,1221,0,built_in,
169448,1269,0.736,built_in,
169448,1270,0.019,built_in,
169448,1272,0,built_in,
169448,1278,0,built_in,
169448,1316,0,built_in,
169448,1404,0.012,built_in,
169486,1003,25.85,built_in,
169486,1004,17.68,built_in,
169486,1005,0,built_in,
169486,1008,268,built_in,
169486,1051,55.96,built_in,
169486,1079,0,built_in,
169486,1087,13,built_in,
169486,1088,0,built_in,
169486,1089,2.24,built_in,
169486,1090,20,built_in,
169486,1091,175,built_in,
169486,1092,265,built_in,
169486,1093,49,built_in,
169486,1095,5.06,built_in,
169486,1098,0.077,built_in,
169486,1100,0,built_in,
169486,1101,0.028,built_in,
169486,1103,28.4,built_in,
169486,1104,11,built_in,
169486,1110,4,built_in,
169486,1109,0.33,built_in,
169486,1165,0.067,built_in,
169486,1166,0.187,built_in,
169486,1167,5.486,built_in,
169486,1170,0.463,built_in,
169486,1171,0,built_in,
169486,1178,1.9,built_in,
169486,1180,81.3,built_in,
169486,1186,0,built_in,
169486,1210,0.222,built_in,
169486,1211,1.123,built_in,
169486,1212,1.206,built_in,
169486,1213,2.152,built_in,
169486,1214,2.327,built_in,
169486,1215,0.694,built_in,
169486,1216,0.309,built_in,
169486,1217,1.042,built_in,
169486,1218,0.891,built_in,
169486,1219,1.307,built_in,
169486,1220,1.729,built_in,
169486,1221,0.89,built_in,
169486,1269,0.61,built_in,
169486,1270,0.093,built_in,
169486,1272,0.001,built_in,
169486,1278,0.002,built_in,
169486,1316,0.316,built_in,
169486,1404,0.017,built_in,
169704,1003,2.74,built_in,
169704,1004,0.97,built_in,
169704,1005,25.58,built_in,
169704,1008,123,built_in,
169704,1051,70.27,built_in,
169704,1079,1.6,built_in,
169704,1087,3,built_in,
169704,1088,0,built_in,
169704,1089,0.56,built_in,
169704,1090,39,built_in,
169704,1091,103,built_in,
169704,1092,86,built_in,
169704,1093,4,built_in,
169704,1095,0.71,built_in,
169704,1098,0.106,built_in,
169704,1100,0,built_in,
169704,1101,0.974,built_in,
169704,1103,5.8,built_in,
169704,1104,0,built_in,
169704,1110,0,built_in,
169704,1109,0.17,built_in,
169704,1165,0.178,built_in,
169704,1166,0.069,built_in,
169704,1167,2.561,built_in,
169704,1170,0.38,built_in,
169704,1171,0,built_in,
169704,1178,0,built_in,
169704,1180,9.2,built_in,
169704,1186,0,built_in,
169704,1210,0.033,built_in,
169704,1211,0.095,built_in,
169704,1212,0.109,built_in,
169704,1213,0.214,built_in,
169704,1214,0.099,built_in,
169704,1215,0.058,built_in,
169704,1216,0.031,built_in,
169704,1217,0.133,built_in,
169704,1218,0.097,built_in,
169704,1219,0.151,built_in,
169704,1220,0.196,built_in,
169704,1221,0.066,built_in,
169704,1269,0.355,built_in,
169704,1270,0.011,built_in,
169704,1272,0,built_in,
169704,1278,0,built_in,
169704,1316,0.355,built_in,
169704,1404,0.011,built_in,
169967,1003,2.38,built_in,
169967,1004,0.41,built_in,
169967,1005,7.18,built_in,
169967,1008,35,built_in,
169967,1051,89.25,built_in,
169967,1079,3.3,built_in,
169967,1087,40,built_in,
169967,1088,0,built_in,
169967,1089,0.67,built_in,
169967,1090,21,built_in,
169967,1091,67,built_in,
169967,1092,293,built_in,
169967,1093,41,built_in,
169967,1095,0.45,built_in,
169967,1098,0.061,built_in,
169967,1100,0,built_in,
169967,1101,0.194,built_in,
169967,1103,1.6,built_in,
169967,1104,1548,built_in,
169967,1110,0,built_in,
169967,1109,1.45,built_in,
169967,1165,0.063,built_in,
169967,1166,0.123,built_in,
169967,1167,0.553,built_in,
169967,1170,0.616,built_in,
169967,1171,0,built_in,
169967,1178,0,built_in,
169967,1180,40.1,built_in,
169967,1186,0,built_in,
169967,1210,0.034,built_in,
169967,1211,0.096,built_in,
169967,1212,0.092,built_in,
169967,1213,0.147,built_in,
169967,1214,0.155,built_in,
169967,1215,0.043,built_in,
169967,1216,0.031,built_in,
169967,1217,0.116,built_in,
169967,1218,0.06,built_in,
169967,1219,0.138,built_in,
169967,1220,0.2,built_in,
169967,1221,0.063,built_in,
169967,1269,0.051,built_in,
169967,1270,0.119,built_in,
169967,1272,0,built_in,
169967,1278,0,built_in,
169967,1316,0,built_in,
169967,1404,0,built_in,
169999,1003,3.41,built_in,
169999,1004,1.5,built_in,
169999,1005,20.98,built_in,
169999,1008,96,built_in,
169999,1051,73.41,built_in,
169999,1079,2.4,built_in,
169999,1087,3,built_in,
169999,1088,0,built_in,
169999,1089,0.45,built_in,
169999,1090,26,built_in,
169999,1091,77,built_in,
169999,1092,218,built_in,
169999,1093,1,built_in,
169999,1095,0.62,built_in,
169999,1098,0.049,built_in,
169999,1100,0,built_in,
169999,1101,0.167,built_in,
169999,1103,0.2,built_in,
169999,1104,263,built_in,
169999,1110,0,built_in,
169999,1109,0.09,built_in,
169999,1165,0.093,built_in,
169999,1166,0.057,built_in,
169999,1167,1.683,built_in,
169999,1170,0.792,built_in,
169999,1171,0,built_in,
169999,1178,0,built_in,
169999,1180,29.1,built_in,
169999,1186,0,built_in,
169999,1210,0.023,built_in,
169999,1211,0.133,built_in,
169999,1212,0.133,built_in,
169999,1213,0.358,built_in,
169999,1214,0.141,built_in,
169999,1215,0.069,built_in,
169999,1216,0.027,built_in,
169999,1217,0.155,built_in,
169999,1218,0.126,built_in,
169999,1219,0.191,built_in,
